product_id,product_name,series,category,subcategory,brand,width,height,depth,weight,color,price,qty_sold_last_week,qty_sold_last_month,avg_weekly_sales,current_stock,min_stock,min_facings,max_facings,core_product,launch_date,status
IP16PM_CLR_01,iPhone 16 Pro Max Clear Case,iPhone 16 Pro Max,case,clear_case,Apple,8.5,13.0,1.0,55,Clear,49.0,85,340,85,200,30,2,6,iPhone 16 Pro Max,2024-01-15,active
IP16PM_LEA_01,iPhone 16 Pro Max Leather Case,iPhone 16 Pro Max,case,leather_case,Apple,8.5,13.0,1.2,65,Brown,99.0,45,180,45,100,20,1,4,iPhone 16 Pro Max,2024-01-15,active
IP16P_SIL_01,iPhone 16 Pro Silicone Case,iPhone 16 Pro,case,silicone_case,Apple,8.0,12.5,1.0,52,Blue,49.0,72,288,72,150,25,2,5,iPhone 16 Pro,2024-01-15,active
IP16_CLR_01,iPhone 16 Clear Case,iPhone 16,case,clear_case,Generic,7.5,12.0,1.0,48,Clear,39.0,95,380,95,250,40,2,8,iPhone 16,2024-01-15,active
SP_IP16PM_GL,Glass Screen Protector iPhone 16 Pro Max,iPhone 16 Pro Max,screen_protector,tempered_glass,Belkin,7.5,12.0,0.5,20,Clear,29.0,120,480,120,300,50,3,10,iPhone 16 Pro Max,2024-01-15,active
SP_IP16_PRV,Privacy Screen iPhone 16,iPhone 16,screen_protector,privacy_glass,Belkin,7.0,11.5,0.5,22,Dark,39.0,65,260,65,180,30,2,6,iPhone 16,2024-01-15,active
CBL_USBC_1M,USB-C to Lightning Cable 1m,Universal,cable,charging_cable,Apple,5.0,15.0,2.0,30,White,19.0,180,720,180,400,80,4,12,Universal,2023-06-01,active
CBL_USBC_2M,USB-C to Lightning Cable 2m,Universal,cable,charging_cable,Apple,5.0,15.0,2.5,40,White,29.0,95,380,95,250,50,2,8,Universal,2023-06-01,active
PWR_20W,20W USB-C Power Adapter,Universal,adapter,power_adapter,Apple,6.0,6.0,6.0,80,White,19.0,150,600,150,350,70,3,10,Universal,2023-01-01,active
PWR_35W,35W Dual USB-C Adapter,Universal,adapter,power_adapter,Apple,7.0,7.0,7.0,100,White,59.0,55,220,55,120,25,1,4,Universal,2023-06-01,active
MAG_CHG,MagSafe Charger,iPhone,charger,wireless_charger,Apple,10.0,10.0,1.0,50,White,39.0,75,300,75,180,35,2,6,iPhone,2023-01-01,active
MAG_3IN1,MagSafe 3-in-1 Charger,Multiple,charger,wireless_charger,Belkin,15.0,12.0,12.0,200,White,149.0,25,100,25,60,10,1,2,Multiple,2024-01-01,active
APP_CASE,AirPods Pro Case,AirPods,audio,case,Apple,6.0,5.0,3.0,25,Pink,29.0,48,192,48,120,20,2,5,AirPods Pro,2023-09-01,active
WATCH_SPORT,Apple Watch Sport Band,Apple Watch,other,watch_band,Apple,8.0,4.0,2.0,30,Black,49.0,62,248,62,150,30,2,6,Apple Watch,2023-06-01,active
